un_resolution_symbol;title;vote_notes;vote_date;voting_summary;afghanistan;brazil;china;costa_rica;france;gabon;gambia;japan;kenya;portugal;russian_federation
A/RES/2380(XXIII)[D];United Nations Relief and Works Agency for Palestine Refugees in the Near East : resolution / adopted by the General Assembly;ADOPTED WITHOUT VOTE;19681101;;;;;;;;;;;;
A/RES/1844(XVII);International Co-operation Year : resolution / adopted by the General Assembly;NON-RECORDED based on A/PV.1198 - No machine generated vote;19621219;Yes: 87, No: 0, Abstentions: 0, Non-Voting: 23, Total voting membership: 110;;;;;;;;;;;
A/RES/2386(XXIII);Permanent sovereignty over natural resources : resolution / adopted by the General Assembly;NON-RECORDED based on A/PV.1723 - No machine generated vote;19681119;Yes: 94, No: 0, Abstentions: 9, Non-Voting: 23, Total voting membership: 126;;;;;;;;;;;
A/RES/53/5;Observer status for the Association of Caribbean States in the General Assembly : resolution / adopted by the General Assembly;ADOPTED WITHOUT A VOTE;19981015;;;;;;;;;;;;
S/RES/1202(1998);Security Council resolution 1202 (1998) [on extension of the mandate of the UN Observer Mission in Angola (MONUA);;19981015;Yes: 015, No: 000, Abstentions: 000, Non-Voting: 000, Total voting membership: 015;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y
S/RES/1201(1998);Security Council resolution 1201 (1998) [on the enlargement and extension of the mandate of the UN Mission in the Central African Republic (MINURCA)];;19981015;Yes: 015, No: 000, Abstentions: 000, Non-Voting: 000, Total voting membership: 015;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y
A/RES/53/3;Analysis of savings resulting from the improved overall cost-effectiveness achieved pursuant to the 9th session of the United Nations Conference on Trade and Development, including the restructuring of the intergovernmental machinery and the reform of the secretariat, as requested by the General Assembly in its resolution 52/220 of 22 December 1997, and proposals pursuant to Assembly decision 52/462 of 31 March 1998 : resolution / adopted by the General Assembly;ADOPTED WITHOUT A VOTE;19981012;;;;;;;;;;;;
A/RES/53/4;Necessity of ending the economic, commercial and financial embargo imposed by the United States of America against Cuba : resolution / adopted by the General Assembly;RECORDED;19981014;Yes: 157, No: 2, Abstentions: 12, Non-Voting: 14, Total voting membership: 185;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y
A/RES/2537(XXIV)[C];Implementation of the recommendations of the Ad Hoc Committee of Experts to Examine the Finances of the United Nations and the Specialized Agencies : resolution / adopted by the General Assembly;ADOPTED WITHOUT VOTE;19691211;;;;;;;;;;;;
A/RES/53/2;50th Anniversary of United Nations Peacekeeping : resolution / adopted by the General Assembly;ADOPTED WITHOUT A VOTE;19981006;;;;;;;;;;;;
A/RES/53/1[A];Assistance to Bangladesh in the wake of the devastating floods : resolution / adopted by the General Assembly;ADOPTED WITHOUT VOTE;19981001;;;;;;;;;;;;
A/RES/53/1[B];Emergency assistance to Antigua and Barbuda, Cuba, the Dominican Republic, Haiti and St. Kitts and Nevis : resolution / adopted by the General Assembly;ADOPTED WITHOUT VOTE;19981005;;;;;;;;;;;;
S/RES/1200(1998);Security Council resolution 1200 (1998) [on the nominations for Judges of the International Tribunal for Rwanda);;19980930;Yes: 015, No: 000, Abstentions: 000, Non-Voting: 000, Total voting membership: 015;Y;Y;Y;Y;Y;Y;Y;Y;Y;;Y
S/RES/1199(1998);Security Council resolution 1199 (1998) [on situation in Kosovo, Yugoslavia];;19980923;Yes: 014, No: 000, Abstentions: 001, Non-Voting: 000, Total voting membership: 015;Y;Y;A;Y;Y;Y;Y;Y;Y;Y;Y
S/RES/1197(1998);Security Council resolution 1197 (1998) [on cooperation between UN and the OAU in the area of regional conflict prevention and the maintenance of peace];;19980918;Yes: 015, No: 000, Abstentions: 000, Non-Voting: 000, Total voting membership: 015;Y;Y;Y;Y;Y;Y;Y;Y;Y;;Y
A/RES/1854(XVII)[A];Administrative and budgetary procedures of the United Nations : resolution / adopted by the General Assembly;RECORDED based on A/PV.1199 - No machine generated vote;19621219;Yes: 76, No: 17, Abstentions: 8, Non-Voting: 9, Total voting membership: 110;;Y;Y;Y;N;;;Y;;N;
S/RES/1198(1998);Security Council resolution 1198 (1998) [on extension of the mandate of the UN Mission for the Referendum in Western Sahara (MINURSO)];;19980918;Yes: 015, No: 000, Abstentions: 000, Non-Voting: 000, Total voting membership: 015;;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y
S/RES/1196(1998);Security Council resolution 1196 (1998) [on monitoring of arms embargoes in Africa];;19980916;Yes: 015, No: 000, Abstentions: 000, Non-Voting: 000, Total voting membership: 015;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y
S/RES/1195(1998);Security Council resolution 1195 (1998) [on extension of the mandate of the UN Observer Mission in Angola (MONUA)];;19980915;Yes: 015, No: 000, Abstentions: 000, Non-Voting: 000, Total voting membership: 015;Y;;Y;Y;Y;Y;Y;Y;Y;Y;Y
S/RES/1194(1998);Security Council resolution 1194 (1998) [on Iraq's decision to suspend cooperation with the Special Commission and the IAEA];;19980909;Yes: 015, No: 000, Abstentions: 000, Non-Voting: 000, Total voting membership: 015;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y
A/RES/52/251;Agreement on Cooperation and Relationship between the United Nations and the International Tribunal for the Law of the Sea : resolution / adopted by the General Assembly;ADOPTED WITHOUT A VOTE;19980908;;;;;;;;;;;;
A/RES/52/252;Revisions to article 1 of the Staff Regulations and chapter 1 of the 100 series of the Staff Rules of the United Nations : resolution / adopted by the General Assembly;ADOPTED WITHOUT A VOTE;19980908;;;;;;;;;;;;
